BUILDING IRN,BUILDING NAME,DISTRICT IRN,DISTRICT NAME,ADDRESS,CITY,STATE,ZIP CODE,PHONE,PRINCIPAL,COUNTY,GRADE SPAN,INDICATORS MET GRADE,PERFORMANCE INDEX SCORE GRADE,4-YEAR GRADUATION RATE GRADE,5-YEAR GRADUATION RATE GRADE,OVERALL VALUE-ADDED GRADE,GIFTED VALUE-ADDED GRADE,LOWEST 20% VALUE-ADDED GRADE,SWD VALUE-ADDED GRADE,AMO GRADE,K-3 LITERACY IMPROVEMENT GRADE,ACHIEVEMENT COMPONENT GRADE,GRADUATION COMPONENT GRADE,PROGRESS COMPONENT GRADE,GAP CLOSING COMPONENT GRADE,K-3 LITERACY COMPONENT GRADE,PREPARED FOR SUCCESS GRADE
018069,Dresden Elementary School,048876,Tri-Valley Local,1318 Main St,Dresden,OH,43821-9516,(740) 754-4001,Heather D. Welch,Muskingum,K-6,D,C,NR,NR,F,NR,D,D,D,C,C,NR,D,D,C,NR
018077,Jefferson Elementary School,045104,Willoughby-Eastlake City,35980 Lake Shore Blvd,Eastlake,OH,44095-1546,(440) 942-7244,Lisa M. George,Lake,"K-5,P",F,D,NR,NR,C,C,C,C,F,C,D,NR,C,F,C,NR
018093,Bataan Memorial Intermediate School,044651,Port Clinton City,525 W 6th St,Port Clinton,OH,43452-2160,(419) 734-3931,Geoffrey E. Halsey,Ottawa,3-5,F,C,NR,NR,C,C,F,F,D,C,C,NR,C,D,C,NR
018119,Westwood PreK-6 School,043844,Dayton City,2805 Oakridge Dr,Dayton,OH,45417-1569,(937) 542-4990,AKISHA K. Shehee,Montgomery,"P,K-8",F,F,NR,NR,F,NR,C,D,F,C,F,NR,D,F,C,NR
018127,Jefferson Junior High School,048231,Washington Local,5530 Whitmer Dr,Toledo,OH,43613-2029,(419) 473-8482,Lisa A. Morse,Lucas,8,F,D,NR,NR,F,C,F,F,F,NR,D,NR,D,F,NR,NR
018135,Van Wert Elementary School,044966,Van Wert City,10992 State Route 118,Van Wert,OH,45891-9243,(419) 238-1761,Justin L. Krogman,Van Wert,1-5,F,C,NR,NR,B,C,B,A,F,A,D,NR,B,F,A,NR
018150,Jefferson High School,048686,Jefferson Township Local,2701 S Union Rd,Dayton,OH,45418-1537,(937) 835-5691,Walter J. Sledge,Montgomery,7-12,F,F,F,C,F,NR,C,C,F,NR,F,D,D,F,NR,F
018184,Jefferson High School,043885,Delphos City,901 Wildcat Ln,Delphos,OH,45833-9238,(419) 695-1786,Chad E. Brinkman,Van Wert,9-12,F,C,A,B,F,NR,C,D,B,NR,D,A,D,B,NR,D
018218,Edison High School,047795,Edison Local,9890 State Route 152,Richmond,OH,43944-7826,(740) 765-4313,Matthew W. Morrison,Jefferson,9-12,F,D,B,A,F,NR,C,F,F,NR,D,B,D,F,NR,D
018259,Jennings Community Learning Center,043489,Akron City,227 E Tallmadge Ave,Akron,OH,44310-2337,(330) 761-2002,Charles D. Jones,Summit,6-8,F,F,NR,NR,F,NR,F,F,F,NR,F,NR,F,F,NR,NR
018275,Hillsdale Middle School,045823,Hillsdale Local,PO Box 57,Jeromesville,OH,44840-0057,(419) 368-4911,Timothy A. Keib,Ashland,5-8,F,C,NR,NR,F,C,D,F,D,NR,D,NR,D,D,NR,NR
018283,Licking Heights West,048009,Licking Heights Local,1490 Climbing Fig Dr.,Blacklick,OH,43004,(614) 864-9089,Belinda S. Hohman,Franklin,K-4,F,C,NR,NR,C,C,B,C,F,C,C,NR,B,F,C,NR
018291,Jerusalem Elementary School,044602,Oregon City,535 S Yondota Rd,Curtice,OH,43412-9487,(419) 836-6111,Jeffrey J. Straka,Lucas,K-4,F,C,NR,NR,F,NR,D,D,F,NR,D,NR,D,F,NR,NR
018309,Harrison North Elementary School,045245,Harrison Hills City,322 West Main Street,Scio,OH,43988,(740) 942-7500,Michael T. Saffell,Harrison,"K-6,P",F,C,NR,NR,A,NR,A,B,B,D,D,NR,A,B,D,NR
018325,John Adams High School,043786,Cleveland Municipal,3817 Martin Luther King Jr Dr,Cleveland,OH,44105-2846,(216) 838-4000,Terrance E. Menefee,Cuyahoga,10-12,F,F,F,F,F,NR,F,F,F,NR,F,F,F,F,NR,F
018374,John E Gregg Elementary School,047795,Edison Local,212 County Road 75a,Bergholz,OH,43908-7989,(740) 768-2100,Tammy L. Burchfield,Jefferson,"K-6,P",F,C,NR,NR,A,C,D,D,F,C,C,NR,B,F,C,NR
018382,John F Kennedy High School,043786,Cleveland Municipal,17100 Harvard Ave,Cleveland,OH,44128-2214,(216) 921-1450,Michelle L. Kirkwood,Cuyahoga,12,F,NR,F,F,NR,NR,NR,NR,F,NR,F,F,NR,F,NR,F
018390,John Foster Dulles Elementary School,047373,Oak Hills Local,6481 Bridgetown Rd,Cincinnati,OH,45248-2934,(513) 574-3443,Elizabeth A. Riesenberger,Hamilton,K-5,C,B,NR,NR,A,A,A,A,B,NR,B,NR,A,B,NR,NR
018408,Cleveland Early College High,043786,Cleveland Municipal,2075 Stokes Blvd,Cleveland,OH,44106-3051,(216) 838-8250,,Cuyahoga,9-12,D,C,A,A,C,A,NR,NR,A,NR,C,A,B,A,NR,B
018416,John Marshall High School,043786,Cleveland Municipal,13501 Terminal Ave,Cleveland,OH,44135-1650,(216) 838-6000,Angela M. Boie,Cuyahoga,12,F,F,F,F,C,NR,NR,NR,F,NR,F,F,C,F,NR,F
018424,John Muir Elementary School,044636,Parma City,5531 W 24th St,Parma,OH,44134-2747,(440) 885-2424,Karl M. Schneider,Cuyahoga,K-4,F,C,NR,NR,F,F,C,D,F,C,D,NR,D,F,C,NR
018440,John R Lea Middle School,050583,Southeast Local,9130 Dover Rd,Apple Creek,OH,44606-9409,(330) 698-3151,Erich J. Riebe,Wayne,7-8,F,C,NR,NR,D,C,C,C,F,NR,D,NR,C,F,NR,NR
018457,Barberton Elementary School West,043539,Barberton City,1151 Shannon Ave,Barberton,OH,44203-6714,(330) 825-2183,Brenda C. Wiles,Summit,K-4,F,C,NR,NR,F,D,F,D,F,C,D,NR,D,F,C,NR
018465,Johnson Park Middle School,043802,Columbus City,1130 S Waverly St,Columbus,OH,43227-1932,(614) 365-6501,David W. Walker Jr,Franklin,6-8,F,F,NR,NR,F,NR,C,C,F,NR,F,NR,D,F,NR,NR
018473,Willis C Adams Middle School,047985,Johnstown-Monroe Local,80 W Maple St,Johnstown,OH,43031-1036,(740) 967-8766,Kris A. Almendinger,Licking,6-8,F,C,NR,NR,A,A,A,B,C,NR,C,NR,A,C,NR,NR
018481,Johnstown High School,047985,Johnstown-Monroe Local,401 S Oregon St,Johnstown,OH,43031-1278,(740) 967-2721,Derick M. Busenburg,Licking,9-12,F,C,A,B,F,C,C,F,D,NR,D,B,D,D,NR,D
018507,Jonathan Alder High School,048264,Jonathan Alder Local,9200 US Route 42 S,Plain City,OH,43064,(614) 873-4642,Michael M. Aurin,Madison,9-12,F,C,A,A,F,D,F,F,B,NR,C,A,D,B,NR,C
018523,Jones Leadership Academy,044909,Toledo City,430 Nebraska Ave,Toledo,OH,43604-8540,(419) 671-5400,Ward D. Barnett,Lucas,7-12,F,F,NR,NR,C,NR,A,C,F,NR,F,NR,B,F,NR,NR
018531,Jones Middle School,044933,Upper Arlington City,2100 Arlington Ave,Upper Arlington,OH,43221-4314,(614) 487-5080,Jason A. Fine,Franklin,6-8,D,B,NR,NR,F,C,F,F,F,NR,C,NR,D,F,NR,NR
018564,Junction City Elementary School,044479,New Lexington School District,PO Box 248,Junction City,OH,43748-0248,(740) 987-3751,Elizabeth J. Halaiko,Perry,K-5,D,B,NR,NR,F,B,F,B,A,B,B,NR,D,A,B,NR
018572,Fairless Middle School,049841,Fairless Local,11836 Navarre Rd SW,Navarre,OH,44662-9485,(330) 767-4293,Theodore N. George,Stark,6-8,F,D,NR,NR,F,F,F,F,F,NR,D,NR,F,F,NR,NR
018580,Kae Avenue Elementary School,045070,Whitehall City,4750 Kae Ave,Whitehall,OH,43213-6100,(614) 417-5600,Kelly J. Golsby,Franklin,"K-1,P",F,D,NR,NR,B,NR,B,C,F,C,D,NR,B,F,C,NR
018598,Kalida Elementary School,049346,Kalida Local,208 North Fourth Street,Kalida,OH,45853-0358,(419) 532-3845,Kathleen J. Verhoff,Putnam,K-4,B,B,NR,NR,C,C,NR,NR,A,C,B,NR,C,A,C,NR
018606,Kalida High School,049346,Kalida Local,PO Box 269,Kalida,OH,45853-0269,(419) 532-3529,Dean V. Brinkman,Putnam,5-12,A,B,A,A,A,B,NR,B,A,NR,A,A,A,A,NR,B
018622,Keene Elementary School,046482,River View Local,27052 County Road 1,Coshocton,OH,43812-8982,(740) 622-5884,Beth E. Hamersley,Coshocton,K-6,F,C,NR,NR,C,C,F,D,D,B,C,NR,C,D,B,NR
018671,Kemp PreK-6 School,043844,Dayton City,1923 Gondert Ave,Dayton,OH,45403-3440,(937) 542-5090,Stacy J. Maney,Montgomery,"K-6,P",F,D,NR,NR,A,NR,A,A,F,C,D,NR,A,F,C,NR
018697,Kenmore High School,043489,Akron City,2140 13th St SW,Akron,OH,44314-2338,(330) 253-6158,Douglas J. Faris,Summit,9-12,F,F,F,D,F,NR,F,F,F,NR,F,D,F,F,NR,F
018747,J F Kennedy Elementary School,044180,Kettering City School District,5030 Polen Dr,Kettering,OH,45440-2442,(937) 499-1830,Monica S. Butcher,Montgomery,K-5,F,B,NR,NR,A,C,D,A,C,NR,C,NR,B,C,NR,NR
018754,Kensington Intermediate Elementary School,044701,Rocky River City,20140 Lake Rd,Rocky River,OH,44116-1515,(440) 356-6770,Todd E. Murphy,Cuyahoga,3-5,B,A,NR,NR,A,A,NR,C,B,NR,A,NR,B,B,NR,NR
018770,Kenston High School,047191,Kenston Local,9500 Bainbridge Rd,Chagrin Falls,OH,44023-2704,(440) 543-9821,Thomas H. Gabram,Geauga,9-12,B,B,A,A,A,A,A,A,B,NR,B,A,A,B,NR,C
018788,Kenston Middle School,047191,Kenston Local,17425 Snyder Rd,Chagrin Falls,OH,44023-2730,(440) 543-8241,Patricia W. Brockway,Geauga,6-8,C,C,NR,NR,F,F,C,F,F,NR,C,NR,D,F,NR,NR
018804,Kent Middle School,043489,Akron City,1445 Hammel St,Akron,OH,44306-3431,(330) 773-7631,Jeannie M. Yost,Summit,6-8,F,F,NR,NR,F,NR,F,F,F,NR,F,NR,F,F,NR,NR
018820,Kenton Elementary School,044818,Springfield City School District,731 E Home Rd,Springfield,OH,45503-2714,(937) 505-4210,Amy S. Paul,Clark,K-6,F,D,NR,NR,F,NR,C,C,F,B,D,NR,D,F,B,NR
018838,Arrowood Elementary,045153,Xenia Community City,1588 Pawnee Dr,Xenia,OH,45385-4153,(937) 372-9251,Travis L. Yost,Greene,K-5,F,C,NR,NR,B,C,B,C,F,C,D,NR,B,F,C,NR
018846,Kenton High School,044172,Kenton City,200 Harding Ave,Kenton,OH,43326-1669,(419) 673-1286,Chad A. Thrush,Hardin,9-12,F,D,B,A,F,NR,C,F,F,NR,D,B,D,F,NR,D
018853,Kenton Middle School,044172,Kenton City,300 Oriental St,Kenton,OH,43326-1670,(419) 673-1237,Kirk A. Cameron,Hardin,6-8,F,D,NR,NR,F,F,F,F,F,NR,D,NR,F,F,NR,NR
018879,Ecole Kenwood French Immersion,043802,Columbus City,3770 Shattuck Ave,Columbus,OH,43220-4179,(614) 365-5502,Emily Corbin,Franklin,K-6,F,C,NR,NR,C,D,C,C,F,C,D,NR,C,F,C,NR
018887,Kenwood Elementary School,043638,Bowling Green City School District,710 Kenwood Ave,Bowling Green,OH,43402-3705,(419) 354-0500,Kathleen S. Daney,Wood,K-5,F,C,NR,NR,A,NR,B,C,F,B,D,NR,B,F,B,NR
018895,Kenwood Elementary,044818,Springfield City School District,1421 Nagley St,Springfield,OH,45505-3937,(937) 505-4220,,Clark,K-6,F,D,NR,NR,A,NR,B,F,F,C,D,NR,B,F,C,NR
018911,Kettering Middle School,044180,Kettering City School District,3000 Glengarry Dr,Kettering,OH,45420-1227,(937) 499-1550,Brian E. Snyder,Montgomery,6-8,F,C,NR,NR,A,A,D,D,F,NR,C,NR,B,F,NR,NR
018929,Kettering Fairmont High School,044180,Kettering City School District,3301 Shroyer Rd,Kettering,OH,45429-2635,(937) 499-1600,Darryl T. Alexander,Montgomery,9-12,F,C,B,A,A,A,C,C,B,NR,C,B,B,B,NR,C
018952,Keyser Elementary School,044909,Toledo City,3900 Hill Ave,Toledo,OH,43607-2635,(419) 671-1450,Natasha L. Allen,Lucas,K-8,F,F,NR,NR,F,NR,F,D,F,D,F,NR,D,F,D,NR
018960,Keystone High School,048165,Keystone Local,580 Opportunity Way,Lagrange,OH,44050-9016,(440) 355-5132,James J. Kohler,Lorain,9-12,D,C,A,A,A,C,B,B,B,NR,C,A,B,B,NR,D
019000,Kilgour Elementary School,043752,Cincinnati City,1339 Herschel Ave,Cincinnati,OH,45208-2510,(513) 363-3000,Angela M. Cook,Hamilton,K-6,B,B,NR,NR,F,F,NR,D,C,B,B,NR,D,C,B,NR
019018,Killbuck Elementary School,047696,West Holmes Local,299 School St,Killbuck,OH,44637-9531,(330) 276-2891,Carrie L. Maltarich,Holmes,K-5,F,B,NR,NR,A,NR,C,C,B,D,C,NR,B,B,D,NR
019034,Kinder Elementary School,044396,Miamisburg City,536 E Central Ave,Miamisburg,OH,45342-2811,(937) 866-4461,Jeremy J. Saylor,Montgomery,K-5,F,C,NR,NR,C,C,C,C,F,D,D,NR,C,F,D,NR
019042,King Elementary School,043489,Akron City,805 Memorial Pkwy,Akron,OH,44303-1640,(330) 873-3375,Mary M. Dean,Summit,K-5,F,C,NR,NR,F,D,F,F,B,C,C,NR,D,B,C,NR
019075,Kings Junior High School,050435,Kings Local,5620 Columbia Rd,Kings Mills,OH,45034,(513) 398-8050,Nicole L. Huelsman,Warren,7-8,D,B,NR,NR,A,A,F,C,F,NR,C,NR,B,F,NR,NR
019083,Kings Mills Elementary School,050435,Kings Local,1780 King Ave,Kings Mills,OH,45034,(513) 398-8050,Shawn M. Rosekrans,Warren,K-4,B,B,NR,NR,F,C,NR,C,A,A,B,NR,D,A,A,NR
019117,Zane Trace Middle School,049544,Zane Trace Local,946 State Route 180,Chillicothe,OH,45601-8141,(740) 773-5842,Bret A. Mavis,Ross,5-8,F,C,NR,NR,C,C,F,F,F,NR,D,NR,C,F,NR,NR
019125,Kingsville Elementary School,045856,Buckeye Local,5875 State Route 193,Kingsville,OH,44048-9794,(440) 224-0281,Traci M. Morse,Ashtabula,K-5,D,B,NR,NR,C,C,C,B,B,C,C,NR,B,B,C,NR
019174,Kirkersville Elementary School,048041,Southwest Licking Local,PO Box 401,Kirkersville,OH,43033-0401,(740) 927-7281,Bradley J. Wehrman,Licking,K-1,NR,NR,NR,NR,NR,NR,NR,NR,NR,A,NR,NR,NR,NR,A,NR
019190,The Bridgeport School DIstrict - Middle School,045237,Bridgeport Exempted Village,55707 Industrial Dr,Bridgeport,OH,43912-1516,(740) 635-0853,Anne H. Haverty,Belmont,5-8,F,C,NR,NR,C,C,NR,C,C,NR,D,NR,C,C,NR,NR
019208,Kirtland Elementary School,047878,Kirtland Local,9140 Chillicothe Rd,Kirtland,OH,44094-9256,(440) 256-3344,Chad M. VanArnhem,Lake,K-5,C,B,NR,NR,F,F,NR,C,A,NR,B,NR,D,A,NR,NR
019216,Kirtland High School,047878,Kirtland Local,9150 Chillicothe Rd,Kirtland,OH,44094-9256,(440) 256-3366,Wendell L. Campbell,Lake,9-12,D,B,A,A,A,A,NR,B,A,NR,C,A,A,A,NR,C
019224,Kirtland Middle School,047878,Kirtland Local,9152 Chillicothe Rd,Kirtland,OH,44094-9256,(440) 256-3358,Scott A. Amstutz,Lake,6-8,F,B,NR,NR,C,C,B,C,F,NR,C,NR,B,F,NR,NR
019273,Knollwood Elementary School,044768,Sheffield-Sheffield Lake City,4975 Oster Rd,Sheffield Village,OH,44054-1561,(440) 949-4234,Gretchen B. Loper,Lorain,"K-1,P",NR,NR,NR,NR,NR,NR,NR,NR,NR,C,NR,NR,NR,NR,C,NR
019281,Knox Elementary School,048389,West Branch Local,2900 Knox School Rd,Alliance,OH,44601-9021,(330) 938-1122,Stephen M. Fowler,Columbiana,K-4,B,B,NR,NR,A,NR,C,C,B,A,B,NR,B,B,A,NR
019323,Kramer Elementary School,046151,Talawanda City,400 W Sycamore St,Oxford,OH,45056-1168,(513) 273-3500,,Butler,"K-5,P",C,B,NR,NR,A,A,D,F,B,B,B,NR,B,B,B,NR
019331,Krout 2-3 Elementary,044891,Tiffin City,20 Glenn St,Tiffin,OH,44883-3417,(419) 447-2652,William R. Beaston,Seneca,2-3,F,C,NR,NR,NR,NR,NR,NR,F,NR,D,NR,NR,F,NR,NR
019364,River Valley High School,065680,Gallia County Local,8785 State Route 160,Bidwell,OH,45614-9106,(740) 446-2926,Timothy R. Edwards,Gallia,9-12,F,D,A,A,F,F,F,F,F,NR,D,A,F,F,NR,D
019372,Kyle Elementary School,044925,Troy City,501 S Plum St,Troy,OH,45373-3346,(937) 332-6770,Matthew A. Dillon,Miami,K-5,F,C,NR,NR,F,F,C,NR,B,C,D,NR,D,B,C,NR
019380,Lacroft Elementary School,043919,East Liverpool City,2460 Boring Ln,East Liverpool,OH,43920-4464,(330) 386-8774,Linda J. Lindsey,Columbiana,K-4,F,D,NR,NR,A,C,B,D,F,D,D,NR,B,F,D,NR
019406,Cleveland School of Architecture & Design,043786,Cleveland Municipal,2075 Stokes Blvd,Cleveland,OH,44106-3051,(216) 838-8200,Tianna M. Maxey,Cuyahoga,9-12,D,C,A,A,A,NR,NR,NR,B,NR,C,A,A,B,NR,D
019430,Lagonda Elementary School,044818,Springfield City School District,800 E McCreight Ave,Springfield,OH,45503-3142,(937) 505-4240,Cathie L. Scott,Clark,K-6,F,D,NR,NR,A,NR,C,B,B,B,D,NR,B,B,B,NR
019448,Keystone Middle School,048165,Keystone Local,501 Opportunity Way,Lagrange,OH,44050-9016,(440) 355-5133,Antonietta R. Filut,Lorain,6-8,F,C,NR,NR,F,F,C,D,F,NR,D,NR,D,F,NR,NR
019489,Lake Cable Elementary School,049858,Jackson Local,5335 Villa Padova Dr NW,Canton,OH,44718-1253,(330) 834-4673,Angela M. Leggett,Stark,K-5,D,B,NR,NR,A,B,B,B,C,B,B,NR,A,C,B,NR
019521,Lake Elementary School,050690,Lake Local,28150 Lemoyne Rd,Millbury,OH,43447-9747,(419) 661-6680,Melissa A. Wagoner,Wood,"K-4,P",F,C,NR,NR,C,C,C,C,C,C,C,NR,C,C,C,NR
019539,Lake High School,050690,Lake Local,28080 Lemoyne Rd,Millbury,OH,43447-9747,(419) 661-6640,Lee M. Herman,Wood,8-12,F,C,B,A,F,NR,D,D,C,NR,D,B,D,C,NR,D
019547,Lake Middle School,050690,Lake Local,28100 Lemoyne Rd,Millbury,OH,43447-9747,(419) 661-6660,Jay D. Ackerman,Wood,5-7,F,C,NR,NR,F,F,F,F,F,NR,D,NR,F,F,NR,NR
019620,Winton Woods Primary South,044081,Winton Woods City,825 Lakeridge Dr,Cincinnati,OH,45231-2606,(513) 619-2470,Danielle N. Wallace,Hamilton,K-2,NR,NR,NR,NR,NR,NR,NR,NR,NR,B,NR,NR,NR,NR,B,NR
019646,Admiral King Elementary School,044263,Lorain City,720 Washington Ave,Lorain,OH,44052-1465,(440) 245-6315,Jay R. Keefer,Lorain,K-5,F,D,NR,NR,F,C,C,D,F,C,D,NR,D,F,C,NR
019653,Indian Lake Elementary School,048082,Indian Lake Local,8770 Co Rd 91,Lewistown,OH,43333-9777,(937) 686-7323,Jeffrey T. Reprogle,Logan,K-4,D,B,NR,NR,A,A,A,A,F,C,C,NR,A,F,C,NR
019661,Lakeview High School,050187,Lakeview Local,300 Hillman Dr,Cortland,OH,44410-1562,(330) 637-4921,Lawrence R. Herrholtz,Trumbull,8-12,D,B,A,B,A,A,C,C,D,NR,C,A,B,D,NR,C
019679,Lakeville Elementary School,047696,West Holmes Local,PO Box 68,Lakeville,OH,44638-0068,(419) 827-2006,Richard T. Mullins,Holmes,3-5,C,B,NR,NR,B,C,C,C,B,B,B,NR,B,B,B,NR
019687,Lakewood High School,044198,Lakewood City,14100 Franklin Blvd,Lakewood,OH,44107-4516,(216) 529-4021,Keith J. Ahearn,Cuyahoga,9-12,F,C,D,C,C,B,A,C,F,NR,D,C,B,F,NR,D
019695,Lakewood High School,047993,Lakewood Local,PO Box 70,Hebron,OH,43025-0070,(740) 928-4526,Stacey J. Stein,Licking,9-12,F,D,B,A,F,C,D,F,F,NR,D,A,D,F,NR,D
019703,Lakewood Middle School,047993,Lakewood Local,PO Box 70,Hebron,OH,43025-0070,(740) 928-8330,Jessica R. Fry,Licking,6-8,F,D,NR,NR,D,C,D,C,F,NR,D,NR,C,F,NR,NR
019711,Lakota Elementary School,049569,Lakota Local,5200 County Road 13,Kansas,OH,44841-9617,(419) 986-6640,Dana D. Ward,Sandusky,K-4,F,C,NR,NR,A,B,NR,A,F,D,C,NR,A,F,D,NR
019729,Liberty Junior School,046110,Lakota Local,7055 Dutchland Blvd,Liberty Township,OH,45044-9014,(513) 777-4420,Eric J. Bauman,Butler,7-8,F,B,NR,NR,F,F,C,D,F,NR,C,NR,D,F,NR,NR
019737,Lakota West High School,046110,Lakota Local,8940 Union Centre Blvd,West Chester,OH,45069-2948,(513) 874-5699,Gary E. Card,Butler,"9-12,UNG",F,B,A,A,A,A,A,A,C,NR,C,A,A,C,NR,C
019745,Lakota High School,049569,Lakota Local,5200 County Road 13,Kansas,OH,44841-9617,(419) 986-6620,Sherry F. Sprow,Sandusky,9-12,F,D,A,A,A,NR,A,C,F,NR,D,A,B,F,NR,D
019752,Lancaster High School,044206,Lancaster City,1312 Granville Pike,Lancaster,OH,43130-1033,(740) 681-7500,Scott L. Burre,Fairfield,"9-12,UNG",F,C,B,B,A,A,F,D,D,NR,D,B,B,D,NR,D
019760,Landeck Elementary School,043885,Delphos City,14750 Landeck Rd,Delphos,OH,45833-9403,(419) 695-3185,Robert J. Hohlbein,Allen,1-5,A,A,NR,NR,D,NR,NR,NR,A,NR,A,NR,D,A,NR,NR
019778,Lander Elementary,044370,Mayfield City,1714 Lander Rd,Cleveland,OH,44124-3346,(440) 995-7350,Felecia M. Evans,Cuyahoga,K-5,C,B,NR,NR,A,B,B,C,B,B,B,NR,B,B,B,NR
019810,Twin Valley South Middle School,049296,Twin Valley Community Local,100 Education Dr,West Alexandria,OH,45381-1184,(937) 839-4165,Scott E. Cottingim,Preble,7-8,F,D,NR,NR,F,D,F,F,F,NR,D,NR,D,F,NR,NR
019836,Larchmont Elementary School,044909,Toledo City,1515 Slater St,Toledo,OH,43612-2016,(419) 671-3650,Kari N. Sharp,Lucas,K-8,F,D,NR,NR,A,NR,C,C,F,D,D,NR,B,F,D,NR
019851,Larkmoor Elementary School,044263,Lorain City,1201 Nebraska Avenue,Lorain,OH,44052-2707,(440) 288-3203,Chantelle C. Lewis,Lorain,"K-5,P",F,D,NR,NR,C,NR,D,D,B,C,D,NR,C,B,C,NR
019877,Maple Elementary School,044628,Painesville City Local,560 W Jackson St,Painesville,OH,44077-3103,(440) 392-5440,Zachary J. Cousins,Lake,K-5,F,D,NR,NR,F,C,D,F,F,C,D,NR,D,F,C,NR
019968,League Elementary School,044560,Norwalk City,16 E League St,Norwalk,OH,44857-1347,(419) 668-2450,Adam M. Kreischer,Huron,4,F,C,NR,NR,A,NR,C,F,F,NR,C,NR,B,F,NR,NR
019976,Lear North Elementary,044537,North Ridgeville City,5580 Lear Nagle Rd,North Ridgeville,OH,44039-2118,(440) 353-1178,MITCHELL J. HEFFRON,Lorain,1,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
019992,LaBrae Middle School,050245,LaBrae Local,1001 N Leavitt Rd,Leavittsburg,OH,44430-9644,(330) 898-0800,Martin H. Kelly,Trumbull,6-8,F,C,NR,NR,B,D,C,F,F,NR,C,NR,C,F,NR,NR
020008,LaBrae High School,050245,LaBrae Local,1001 N Leavitt Rd,Leavittsburg,OH,44430-9644,(330) 898-0800,Jeffrey W. Starkey,Trumbull,9-12,F,C,A,A,B,B,B,C,D,NR,D,A,B,D,NR,D
020024,Leawood Elementary School,043802,Columbus City,1677 S Hamilton Rd,Columbus,OH,43227-3667,(614) 365-6504,Maria H. Malik,Franklin,"K-5,P",F,F,NR,NR,F,NR,D,C,F,D,F,NR,D,F,D,NR
020032,Lebanon High School,044214,Lebanon City,1916 Drake Rd,Lebanon,OH,45036-8624,(513) 934-5100,Scott A. Butler,Warren,9-12,F,C,A,A,F,D,F,F,F,NR,C,A,D,F,NR,C
020065,Ledgeview Elementary School,050047,Nordonia Hills City,9130 Shepard Rd,Macedonia,OH,44056-1452,(330) 467-0583,Kristen M. Cottrell,Summit,K-4,D,B,NR,NR,A,C,A,A,A,C,B,NR,B,A,C,NR
020073,Lee Burneson Middle School,045062,Westlake City,2260 Dover Center Rd,Westlake,OH,44145-3157,(440) 835-6340,Amanda K. Musselman,Cuyahoga,7-8,B,B,NR,NR,A,A,C,A,F,NR,B,NR,B,F,NR,NR
020107,Leetonia High School,045443,Leetonia Exempted Village,450 Walnut St,Leetonia,OH,44431-1075,(330) 427-2115,Troy D. Radinsky,Columbiana,9-12,F,C,A,B,D,C,D,D,C,NR,D,B,C,C,NR,D
020115,Leggett Community Learning Center,043489,Akron City,333 E Thornton St,Akron,OH,44311-1663,(330) 761-1735,Philomena M. Vincente,Summit,K-5,F,D,NR,NR,F,NR,F,F,F,D,F,NR,F,F,D,NR
020123,Lehman Middle School,043711,Canton City,1400 Broad Ave NW,Canton,OH,44708-3129,(330) 456-1963,Janet M. Peare,Stark,6-8,F,F,NR,NR,F,NR,F,C,F,NR,F,NR,D,F,NR,NR
020131,Leipsic Elementary School,049353,Leipsic Local,232 Oak St,Leipsic,OH,45856-1312,(419) 943-2163,Darren D. Henry,Putnam,K-5,F,C,NR,NR,A,NR,A,A,C,D,D,NR,A,C,D,NR
020149,Leipsic High School,049353,Leipsic Local,232 Oak St,Leipsic,OH,45856-1312,(419) 943-2164,Brian G. Bennett,Putnam,6-12,F,C,A,A,A,NR,A,A,F,NR,D,A,A,F,NR,D
020164,Falls-Lenox Primary Elementary School,046573,Olmsted Falls City,26450 Bagley Rd,Olmsted Falls,OH,44138-1818,(440) 427-6400,Lisa M. Williams,Cuyahoga,1-3,D,B,NR,NR,NR,NR,NR,NR,B,C,B,NR,NR,B,C,NR
020172,Leona Ave Middle School,046003,Shadyside Local,3795 Leona Ave,Shadyside,OH,43947-1367,(740) 676-9220,Charles L. Tucker,Belmont,3-6,D,C,NR,NR,F,D,B,A,F,C,C,NR,C,F,C,NR
020180,Leroy Elementary School,047894,Riverside Local,13613 Painesville Warren Rd,Painesville,OH,44077-9562,(440) 358-8750,Greg A. Miller,Lake,K-5,C,B,NR,NR,A,A,C,C,A,C,B,NR,B,A,C,NR
020206,Tri-County North Elementary School,091397,Tri-County North Local,PO Box 219,Lewisburg,OH,45338-0219,(937) 962-2673,Joseph A. Finkbine,Preble,K-5,F,C,NR,NR,A,A,B,C,B,C,D,NR,B,B,C,NR
020230,Lexington Elementary School,049882,Marlington Local,12333 Atwater Ave NE,Alliance,OH,44601-9698,(330) 823-7570,David A. Rogers,Stark,K-5,D,B,NR,NR,A,D,A,A,B,B,C,NR,B,B,B,NR
020255,Lexington High School,049437,Lexington Local,103 Clever Ln,Lexington,OH,44904-1209,(419) 884-1111,Jeremy R. Secrist,Richland,9-12,F,C,A,A,C,C,D,F,D,NR,D,A,C,D,NR,C
